step,cmd_vx,cmd_vy,cmd_wz,vx,vy,wz,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11
81.000000,1.000000,0.000000,0.000000,0.602211,-0.015782,0.423641,0.698870,-0.934155,-0.987323,0.522814,0.820832,0.991753,-0.800731,0.972886,0.975996,-0.662610,-0.977814,-0.937892
82.000000,1.000000,0.000000,0.000000,0.625736,-0.024697,0.392003,0.538149,-0.939496,-0.986483,0.660718,0.554519,0.990983,-0.807506,0.987598,0.973140,-0.801301,-0.985234,-0.923732
83.000000,1.000000,0.000000,0.000000,0.638474,-0.026229,0.419919,0.523427,-0.956582,-0.989567,0.116064,-0.044650,0.992886,-0.465899,0.984135,0.960675,-0.671514,-0.984279,-0.883058
84.000000,1.000000,0.000000,0.000000,0.651565,-0.025539,0.420575,0.607275,-0.959038,-0.976148,0.193137,0.006922,0.992313,-0.399667,0.985041,0.972791,-0.686424,-0.978603,-0.827284
85.000000,1.000000,0.000000,0.000000,0.651000,-0.011346,0.361165,0.118681,-0.948861,-0.960155,0.330358,-0.808821,0.991992,-0.425419,0.983914,0.967851,-0.808801,-0.994117,-0.588515
86.000000,1.000000,0.000000,0.000000,0.652031,0.002194,0.495941,-0.207970,-0.922424,-0.788041,-0.367158,-0.604905,0.991415,0.364608,0.975970,0.974019,-0.483721,-0.978111,-0.388855
87.000000,1.000000,0.000000,0.000000,0.652408,0.026147,0.551413,-0.386081,-0.783653,-0.111589,-0.375578,-0.888508,0.994061,0.214449,0.975739,0.964889,-0.182652,-0.975417,0.321221
88.000000,1.000000,0.000000,0.000000,0.664778,0.054797,0.360696,-0.062238,0.374074,0.954178,0.306194,-0.781091,0.993718,-0.224702,0.979816,0.991673,-0.312297,-0.310097,0.767472
89.000000,1.000000,0.000000,0.000000,0.636763,0.069444,0.445459,-0.862690,0.954823,0.997920,-0.149683,-0.863410,0.933579,0.767764,0.978014,0.284224,0.368395,0.880708,0.971356
90.000000,1.000000,0.000000,0.000000,0.587146,0.054878,0.419621,-0.841816,0.986196,0.992839,-0.840168,0.147043,-0.985379,0.821492,0.995197,-0.808056,0.865462,0.994172,0.992283
91.000000,1.000000,0.000000,0.000000,0.563385,0.046904,0.378658,-0.895535,0.986353,0.977974,-0.292782,-0.259537,-0.993514,0.842677,0.941408,-0.926106,0.878395,0.984240,0.986987
92.000000,1.000000,0.000000,0.000000,0.563244,0.040529,0.360124,-0.906666,0.991192,0.974938,0.116902,-0.671646,-0.991551,0.823832,0.804465,-0.937455,0.813191,0.988151,0.986807
93.000000,1.000000,0.000000,0.000000,0.553321,0.029189,0.310784,-0.879344,0.992075,0.971467,0.368961,-0.762195,-0.995497,0.771926,-0.261559,-0.951229,0.809096,0.986010,0.981918
94.000000,1.000000,0.000000,0.000000,0.557433,0.020932,0.372018,-0.962549,0.967115,0.968965,-0.410870,-0.875412,-0.991106,0.874171,-0.823889,-0.935688,0.940273,0.988750,0.982153
95.000000,1.000000,0.000000,0.000000,0.571453,0.017175,0.383538,-0.948419,0.973552,0.982593,0.122928,-0.971117,-0.993570,0.926150,-0.962713,-0.968604,0.905684,0.979209,0.977368
96.000000,1.000000,0.000000,0.000000,0.596681,0.017596,0.397453,-0.935236,0.974941,0.981562,-0.231011,-0.976380,-0.991286,0.887780,-0.972311,-0.967369,0.936055,0.990776,0.983640
97.000000,1.000000,0.000000,0.000000,0.627397,0.019545,0.410985,-0.956403,0.978225,0.981396,-0.314624,-0.986733,-0.986901,0.853135,-0.987007,-0.940868,0.908805,0.990520,0.980103
98.000000,1.000000,0.000000,0.000000,0.658722,0.019572,0.393532,-0.912896,0.979888,0.982323,0.084892,-0.981461,-0.977354,0.850615,-0.990708,-0.896169,0.860348,0.994491,0.979730
99.000000,1.000000,0.000000,0.000000,0.687968,0.017555,0.381559,-0.928496,0.984814,0.981658,0.185817,-0.984144,-0.933359,0.874275,-0.991670,-0.817611,0.823470,0.995628,0.977803
100.000000,1.000000,0.000000,0.000000,0.715593,0.012309,0.378984,-0.922899,0.989143,0.977940,0.080181,-0.976994,-0.809903,0.767622,-0.989203,-0.737038,0.779056,0.995259,0.983055
101.000000,1.000000,0.000000,0.000000,0.740354,0.002557,0.336432,-0.900276,0.991107,0.966833,0.497075,-0.970997,-0.013148,0.540930,-0.985417,-0.519281,0.692271,0.996371,0.983152
102.000000,1.000000,0.000000,0.000000,0.751511,-0.006327,0.284547,-0.689555,0.983468,0.978939,0.398718,-0.831508,0.969916,0.578543,-0.987507,0.180318,0.590454,0.995107,0.978209
103.000000,1.000000,0.000000,0.000000,0.733436,0.017562,0.263604,0.303620,0.982906,0.828723,-0.259436,0.601101,0.995060,-0.016448,-0.906722,0.255827,0.292936,0.993295,0.979405
104.000000,1.000000,0.000000,0.000000,0.680663,0.037317,0.321214,0.330174,0.920511,-0.400882,0.202041,0.860842,0.986096,-0.707021,-0.318208,0.675727,-0.194616,0.993819,0.963312
105.000000,1.000000,0.000000,0.000000,0.629839,0.033158,0.248521,0.598991,0.926516,-0.964515,0.377822,0.978336,0.934006,-0.199564,0.626895,0.952906,-0.604440,0.993975,0.199875
106.000000,1.000000,0.000000,0.000000,0.597316,0.030547,0.239409,0.799699,0.909401,-0.980045,0.156794,0.989097,0.963118,0.356766,0.744508,0.973721,-0.809360,0.990904,-0.920371
107.000000,1.000000,0.000000,0.000000,0.592308,0.029691,0.338443,0.695083,0.394434,-0.980180,-0.000633,0.986128,0.973086,-0.266501,0.755770,0.947892,-0.816175,0.946861,-0.555916
108.000000,1.000000,0.000000,0.000000,0.587712,0.021029,0.346011,0.440668,-0.744814,-0.964383,0.826826,0.986921,0.917873,-0.599354,0.774934,0.962938,-0.702227,0.332372,-0.571120
109.000000,1.000000,0.000000,0.000000,0.584755,0.019195,0.298303,0.379384,-0.898494,-0.973726,0.832384,0.967365,0.961415,-0.802168,0.772458,0.953407,-0.729141,-0.713682,-0.606187
