step,cmd_vx,cmd_vy,cmd_wz,vx,vy,wz,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11
44.000000,1.000000,0.000000,0.000000,1.006968,-0.076532,0.654577,-0.130120,0.397704,2.372820,-0.209234,-1.102707,1.836440,-0.169378,-1.221799,1.137147,0.392323,0.528179,2.549670
45.000000,1.000000,0.000000,0.000000,0.962231,-0.055194,0.566356,0.041166,0.743145,1.886156,-0.093073,-0.570885,2.042032,-0.388697,-0.603064,1.534343,-0.059473,0.160903,2.264592
46.000000,1.000000,0.000000,0.000000,0.888220,-0.052550,0.628688,-0.002620,0.929021,0.789501,-0.140278,-0.079407,2.081670,-0.412024,-0.120181,1.882777,0.060434,0.270274,0.987615
47.000000,1.000000,0.000000,0.000000,0.831490,-0.043490,0.502705,0.171866,1.197995,-0.643756,0.321404,-0.229758,1.976862,-0.641980,0.631534,1.785636,-0.186985,0.332702,-0.143182
48.000000,1.000000,0.000000,0.000000,0.806834,-0.044349,0.419380,0.206627,0.870322,-1.272332,0.712287,-0.013052,2.002836,-0.395723,0.847413,2.021971,-0.355071,0.295706,-0.674830
49.000000,1.000000,0.000000,0.000000,0.791171,-0.050778,0.407159,0.211692,0.337556,-1.628814,0.570431,-0.135629,1.708433,-0.525332,0.443619,1.748286,-0.180715,0.277963,-1.276489
50.000000,1.000000,0.000000,0.000000,0.783717,-0.064079,0.413972,0.229655,-0.084971,-1.543306,0.725072,-0.253836,1.524156,-0.379887,0.087783,1.762154,-0.251559,0.178892,-1.426824
51.000000,1.000000,0.000000,0.000000,0.784700,-0.074937,0.481720,0.134215,-0.537014,-1.427044,0.487386,-0.100713,1.667724,-0.309443,0.122741,1.715655,-0.217729,0.091969,-1.331105
52.000000,1.000000,0.000000,0.000000,0.784970,-0.081218,0.440892,0.281893,-0.755057,-1.165796,0.972175,-0.329360,1.692719,-0.320039,0.175383,1.694175,-0.333952,-0.357031,-1.104145
53.000000,1.000000,0.000000,0.000000,0.794723,-0.079478,0.405821,0.276433,-0.995362,-0.998331,0.536330,-0.096641,2.018698,-0.775886,0.310181,1.752255,-0.171609,-0.570108,-1.185933
54.000000,1.000000,0.000000,0.000000,0.807355,-0.070563,0.414093,0.288160,-1.345645,-0.363277,0.342621,0.036934,2.424364,-0.616679,0.408565,1.717384,-0.230436,-0.907423,-0.875293
55.000000,1.000000,0.000000,0.000000,0.821000,-0.058607,0.456720,0.150985,-1.464085,0.165680,0.314017,-0.098112,2.616528,-0.436700,0.313809,1.707241,-0.242480,-1.181533,-0.436222
56.000000,1.000000,0.000000,0.000000,0.844173,-0.042712,0.470769,0.196591,-1.476997,0.776601,0.144060,-0.147141,2.948172,-0.570472,0.386112,1.819701,-0.344950,-1.455114,-0.056892
57.000000,1.000000,0.000000,0.000000,0.874358,-0.019972,0.459221,0.104058,-1.505859,1.008264,0.415941,-0.461967,3.397279,-0.592605,0.476584,1.966222,-0.473239,-1.923525,0.479767
58.000000,1.000000,0.000000,0.000000,0.901722,0.000937,0.439059,0.145365,-1.412941,1.148064,0.397233,-0.640939,3.316768,-0.425020,0.525765,1.874989,-0.610158,-1.940617,0.883846
59.000000,1.000000,0.000000,0.000000,0.937245,0.005449,0.460974,0.165246,-1.303126,1.513811,0.108991,-0.293992,3.400317,-0.438146,0.497196,2.243527,-0.365060,-1.618796,1.299350
60.000000,1.000000,0.000000,0.000000,0.918182,-0.021418,0.496930,0.259065,-1.052661,1.825518,-0.061010,0.290442,2.931860,0.206997,0.322276,2.132258,-0.235494,-1.062077,1.735417
61.000000,1.000000,0.000000,0.000000,0.853223,-0.033272,0.461842,-0.078593,-0.750722,1.945440,-0.100069,1.022031,1.703154,0.685143,0.308059,1.477082,0.189135,0.043230,1.984005
62.000000,1.000000,0.000000,0.000000,0.802368,-0.041753,0.466173,-0.382354,-0.306979,2.049511,-0.139780,0.918995,0.146563,0.608819,0.361903,0.522236,0.517562,1.106722,2.155488
63.000000,1.000000,0.000000,0.000000,0.786563,-0.040431,0.464888,-0.490273,0.098931,1.872387,0.091335,0.481268,-0.726376,0.484576,0.375939,-0.396971,0.361789,1.531039,2.391758
64.000000,1.000000,0.000000,0.000000,0.797499,-0.035764,0.496852,-0.573795,0.167190,1.730798,0.061347,0.323839,-1.036269,0.505769,0.265398,-0.690498,0.431060,1.736009,2.473368
65.000000,1.000000,0.000000,0.000000,0.822127,-0.020402,0.410184,-0.457666,0.317195,1.566846,-0.112361,-0.012585,-1.265270,0.396926,0.196585,-0.853250,-0.025801,1.432756,2.524342
66.000000,1.000000,0.000000,0.000000,0.850508,-0.010187,0.414237,-0.765367,0.223118,1.583313,-0.141612,-0.305680,-1.103754,0.406318,-0.186596,-0.696562,0.190598,1.371962,2.322397
67.000000,1.000000,0.000000,0.000000,0.885000,0.000903,0.429926,-0.787558,0.304971,1.687797,-0.099924,-0.720708,-0.925804,0.330997,-0.464570,-0.754190,0.474091,1.420763,2.515097
68.000000,1.000000,0.000000,0.000000,0.913444,0.000185,0.436557,-0.672499,0.171739,1.946203,-0.013917,-1.116453,-0.772204,0.329637,-0.659922,-0.799184,0.570521,1.200035,2.275906
69.000000,1.000000,0.000000,0.000000,0.933118,-0.005010,0.418954,-0.777833,-0.107371,1.960812,0.168177,-1.317943,-0.606487,0.317874,-0.876366,-0.858316,0.426902,0.709299,2.155245
70.000000,1.000000,0.000000,0.000000,0.957633,-0.024647,0.476957,-0.721547,-0.137214,2.303578,0.029181,-1.393899,-0.157375,0.301591,-1.038675,-0.516690,0.783098,0.804481,2.086380
71.000000,1.000000,0.000000,0.000000,0.996755,-0.043851,0.552596,-0.587216,0.230727,2.304933,0.033673,-1.485016,0.431483,0.044112,-1.202618,-0.014756,1.069098,0.985780,2.372601
72.000000,1.000000,0.000000,0.000000,1.034367,-0.071149,0.601219,-0.463841,0.045874,2.530476,0.004211,-1.451286,0.838939,0.053991,-1.417319,0.328429,0.890502,0.864209,2.387208
73.000000,1.000000,0.000000,0.000000,1.076099,-0.100718,0.605220,-0.280654,0.025064,2.651335,-0.030918,-1.347139,1.369364,0.055853,-1.426132,0.711619,0.705117,0.729014,2.537498
74.000000,1.000000,0.000000,0.000000,1.080878,-0.100016,0.542387,-0.166755,0.212414,2.405739,-0.138689,-1.078150,1.580371,-0.124720,-1.212210,1.121240,0.447064,0.293841,2.741838
75.000000,1.000000,0.000000,0.000000,1.011835,-0.077259,0.547469,-0.049472,0.453946,1.895752,-0.282654,-0.598494,2.111481,-0.291793,-0.860164,1.472103,0.024725,0.322909,2.007123
76.000000,1.000000,0.000000,0.000000,0.927919,-0.066385,0.526831,0.043159,0.663703,0.949809,0.106860,-0.232792,2.075016,-0.512565,-0.187979,1.742975,-0.139576,0.096350,0.896331
77.000000,1.000000,0.000000,0.000000,0.872321,-0.056720,0.456935,0.218278,1.064715,-0.539978,0.502473,-0.080524,1.972912,-0.499462,0.548986,1.698888,-0.261145,0.220412,-0.239979
78.000000,1.000000,0.000000,0.000000,0.841933,-0.056256,0.468566,0.196392,0.797792,-1.347494,0.451189,-0.015447,1.886383,-0.443606,0.496435,1.770374,-0.179581,0.364244,-0.898352
79.000000,1.000000,0.000000,0.000000,0.833052,-0.063905,0.408428,0.188277,0.384796,-1.465140,0.744311,-0.165307,1.608127,-0.632956,0.525049,1.830428,-0.271256,0.322527,-1.137251
80.000000,1.000000,0.000000,0.000000,0.828138,-0.070699,0.410289,0.167787,-0.180929,-1.508523,0.586593,-0.302483,1.598579,-0.539053,0.387587,1.667610,-0.137858,0.210472,-1.283065
81.000000,1.000000,0.000000,0.000000,0.822985,-0.072949,0.397737,0.240489,-0.538336,-1.462821,0.665558,-0.490724,1.731061,-0.547236,0.238729,1.639721,-0.145232,-0.064694,-1.351818
82.000000,1.000000,0.000000,0.000000,0.821150,-0.067874,0.333147,0.284785,-0.879827,-1.318476,0.712295,-0.497177,1.877770,-0.697600,0.341062,1.571395,-0.209142,-0.410579,-1.488429
83.000000,1.000000,0.000000,0.000000,0.826420,-0.059426,0.332210,0.209169,-1.218207,-0.821630,0.482363,-0.259363,2.151850,-0.644706,0.239577,1.589883,-0.166701,-0.629362,-1.218257
84.000000,1.000000,0.000000,0.000000,0.834983,-0.048473,0.319023,0.295559,-1.384054,-0.185778,0.372058,-0.274830,2.192765,-0.597231,0.288673,1.535972,-0.186748,-0.793754,-0.903167
85.000000,1.000000,0.000000,0.000000,0.854201,-0.025684,0.299077,0.157129,-1.498242,0.295315,0.343756,-0.395953,2.821098,-0.647932,0.547493,1.696398,-0.333564,-1.249353,-0.520271
86.000000,1.000000,0.000000,0.000000,0.884807,-0.007187,0.356802,0.198364,-1.596261,0.831517,0.093131,-0.155676,3.026179,-0.359983,0.558491,1.814081,-0.394272,-1.341867,-0.023883
87.000000,1.000000,0.000000,0.000000,0.922763,0.007316,0.413496,0.173165,-1.530455,1.191940,0.198537,-0.165820,3.176858,-0.272769,0.522635,1.976950,-0.375682,-1.546686,0.549827
88.000000,1.000000,0.000000,0.000000,0.963079,0.017073,0.381682,0.277129,-1.281179,1.493194,0.243781,-0.374280,3.090080,-0.421156,0.492671,2.182522,-0.440755,-1.598242,0.807042
89.000000,1.000000,0.000000,0.000000,0.944974,-0.001235,0.438477,0.010349,-1.275221,1.880658,0.006948,-0.335910,3.294955,-0.217717,0.447939,1.989661,-0.376567,-1.643276,1.216570
90.000000,1.000000,0.000000,0.000000,0.887105,-0.020430,0.430014,0.105128,-1.097135,1.833509,0.097410,0.122525,2.909142,0.370148,0.393221,1.701610,-0.264699,-0.974105,1.918582
91.000000,1.000000,0.000000,0.000000,0.814525,-0.030608,0.384127,-0.208965,-0.678140,1.995755,-0.030619,0.755400,1.232039,0.651387,0.584115,0.673415,0.367388,0.310280,2.129508
92.000000,1.000000,0.000000,0.000000,0.779263,-0.034366,0.377335,-0.469530,-0.159371,2.021042,0.024130,0.702583,-0.109596,0.585187,0.671616,-0.353200,0.373213,1.372813,2.285616
93.000000,1.000000,0.000000,0.000000,0.774315,-0.036592,0.347609,-0.423188,0.191339,1.919023,0.029396,0.499429,-1.034695,0.555886,0.441128,-0.546507,0.314607,1.381254,2.190848
94.000000,1.000000,0.000000,0.000000,0.789395,-0.026469,0.354298,-0.777324,0.178450,1.557883,-0.113486,0.304616,-1.108984,0.532231,0.162196,-0.606259,0.131862,1.309162,2.300103
95.000000,1.000000,0.000000,0.000000,0.813839,-0.013727,0.262190,-0.440637,0.381490,1.560878,-0.104572,-0.214703,-1.262233,0.345085,0.026334,-0.603509,0.090832,1.089698,2.263689
96.000000,1.000000,0.000000,0.000000,0.842993,-0.000948,0.217394,-0.496085,0.323712,1.636516,-0.199218,-0.488597,-1.203283,0.317086,-0.227127,-0.822067,0.289407,1.098446,2.355172
97.000000,1.000000,0.000000,0.000000,0.858184,-0.000725,0.220381,-0.698191,-0.124787,1.779159,-0.041810,-0.849968,-0.959459,0.285424,-0.578059,-0.736957,0.379811,0.740308,2.033021
98.000000,1.000000,0.000000,0.000000,0.877987,-0.005780,0.209922,-0.536628,-0.068975,1.970150,0.011490,-1.223779,-0.882065,0.292548,-0.756027,-0.821557,0.462294,0.763646,2.103472
99.000000,1.000000,0.000000,0.000000,0.893963,-0.023194,0.239284,-0.515076,-0.208842,2.191256,0.086062,-1.488322,-0.416416,0.249885,-1.009328,-0.726639,0.724260,0.662882,1.941413
100.000000,1.000000,0.000000,0.000000,0.924090,-0.036894,0.266379,-0.584711,0.023209,2.222143,0.031245,-1.541881,-0.005079,0.236220,-1.095270,-0.528212,0.772991,0.568507,2.237357
101.000000,1.000000,0.000000,0.000000,0.965859,-0.054149,0.303853,-0.502535,0.250791,2.382183,0.053089,-1.500574,0.477927,0.039660,-1.276380,-0.134860,0.955806,0.592394,2.412095
102.000000,1.000000,0.000000,0.000000,1.010910,-0.078140,0.339654,-0.236092,0.208007,2.622842,-0.125158,-1.544941,1.079300,0.130362,-1.423717,0.175282,0.889002,0.598698,2.529069
103.000000,1.000000,0.000000,0.000000,1.040257,-0.090075,0.343801,-0.160217,0.350688,2.352093,-0.344249,-1.146004,1.753495,0.052341,-1.483544,0.674351,0.462564,0.353733,2.517942
104.000000,1.000000,0.000000,0.000000,1.011700,-0.071564,0.298252,-0.017849,0.215110,2.533679,-0.288562,-1.028109,1.817913,-0.087001,-1.395496,1.205323,0.196944,0.078442,2.573927
105.000000,1.000000,0.000000,0.000000,0.949252,-0.045584,0.344602,-0.212392,0.673762,1.749698,-0.161366,-0.443687,1.753136,-0.120149,-0.773473,1.683882,0.012291,0.318177,1.836712
106.000000,1.000000,0.000000,0.000000,0.873687,-0.038979,0.404618,-0.095592,0.831253,0.681122,0.101574,-0.148002,1.988333,-0.295687,0.018764,1.931891,-0.159891,0.312528,0.541025
107.000000,1.000000,0.000000,0.000000,0.830146,-0.033658,0.379286,0.131325,0.991436,-0.553270,0.423066,-0.061576,2.011226,-0.513096,0.704054,1.918467,-0.277057,0.246338,-0.231929
108.000000,1.000000,0.000000,0.000000,0.805660,-0.037996,0.355099,0.218048,0.727809,-1.106326,0.584494,-0.287230,1.576352,-0.499605,0.470671,1.771914,-0.193227,0.404434,-0.681624
109.000000,1.000000,0.000000,0.000000,0.794589,-0.043335,0.306838,0.194030,0.342758,-1.256026,0.680077,-0.452012,1.547537,-0.540045,0.517341,1.799739,-0.172524,0.276810,-0.911394
