version,experiment_id,git_commit,configuration,environment,algorithm,seed,environment_steps,wall_clock_seconds,checkpoint,status,deterministic_return,stochastic_return,tracking_error_xy,yaw_error,survival_rate,forward_gain,lag_steps,entropy,action_std,kl,alpha_temp,alpha_kl,q_bias,target_clip_fraction,notes
v00,reppo_v00_s4__deterministic__E2,e55a861,config/mjlab_go2_reppo_v00_baseline.yaml,Unitree-Go2-Flat,REPPO,4,39321600,3498,logs/safe_rl/go2_v00/2026-08-03_13-40-13_reppo_v00_s4/model_299.pt,evaluated,43.5798,,0.7636,0.2070,1.0000,,,-6.0146,0.5082,0.0997,0.0025,0.0420,0.0450,0.0010,"protocol=E2; mode=deterministic; eval_seeds=[3, 7, 11, 21, 33]; E2_survival=1.00"
v00,reppo_v00_s3__deterministic__E2,e55a861,config/mjlab_go2_reppo_v00_baseline.yaml,Unitree-Go2-Flat,REPPO,3,39321600,3441,logs/safe_rl/go2_v00/2026-08-03_14-23-43_reppo_v00_s3/model_299.pt,evaluated,34.0829,,0.7109,0.2274,0.6000,,,-5.9979,0.5223,0.0996,0.0029,0.0448,0.0697,0.0012,"protocol=E2; mode=deterministic; eval_seeds=[3, 7, 11, 21, 33]; E2_survival=0.60"
v00,reppo_v00_s5__deterministic__E2,e55a861,config/mjlab_go2_reppo_v00_baseline.yaml,Unitree-Go2-Flat,REPPO,5,39321600,4100,logs/safe_rl/go2_v00/2026-08-03_14-38-31_reppo_v00_s5/model_299.pt,evaluated,41.4526,,0.7160,0.1512,0.8000,,,-5.9855,0.5525,0.0999,0.0029,0.0459,0.0800,0.0014,"protocol=E2; mode=deterministic; eval_seeds=[3, 7, 11, 21, 33]; E2_survival=0.80"
v00,ppo_39M_s1__deterministic__E2,e55a861,config/mjlab_go2_ppo.yaml,Unitree-Go2-Flat,PPO,1,39321600,465,logs/safe_rl/go2_v00/2026-08-03_13-03-04_ppo_39M_s1/model_399.pt,evaluated,44.5382,,0.3267,0.1121,0.8000,,,4.9415,0.3673,,,,,,"protocol=E2; mode=deterministic; eval_seeds=[3, 7, 11, 21, 33]; E2_survival=0.80"
v00,ppo_39M_s2__deterministic__E2,e55a861,config/mjlab_go2_ppo.yaml,Unitree-Go2-Flat,PPO,2,39321600,432,logs/safe_rl/go2_v00/2026-08-03_13-10-49_ppo_39M_s2/model_399.pt,evaluated,50.3949,,0.3144,0.0860,1.0000,,,5.6922,0.3913,,,,,,"protocol=E2; mode=deterministic; eval_seeds=[3, 7, 11, 21, 33]; E2_survival=1.00"
v00,ppo_39M_s3__deterministic__E2,e55a861,config/mjlab_go2_ppo.yaml,Unitree-Go2-Flat,PPO,3,39321600,427,logs/safe_rl/go2_v00/2026-08-03_13-18-00_ppo_39M_s3/model_399.pt,evaluated,44.2832,,0.3533,0.1038,0.8000,,,5.6017,0.3880,,,,,,"protocol=E2; mode=deterministic; eval_seeds=[3, 7, 11, 21, 33]; E2_survival=0.80"
v00,ppo_39M_s4__deterministic__E2,e55a861,config/mjlab_go2_ppo.yaml,Unitree-Go2-Flat,PPO,4,39321600,444,logs/safe_rl/go2_v00/2026-08-03_13-25-08_ppo_39M_s4/model_399.pt,evaluated,50.6215,,0.3183,0.0919,1.0000,,,4.8417,0.3642,,,,,,"protocol=E2; mode=deterministic; eval_seeds=[3, 7, 11, 21, 33]; E2_survival=1.00"
v00,ppo_39M_s5__deterministic__E2,e55a861,config/mjlab_go2_ppo.yaml,Unitree-Go2-Flat,PPO,5,39321600,461,logs/safe_rl/go2_v00/2026-08-03_13-32-33_ppo_39M_s5/model_399.pt,evaluated,44.3794,,0.3259,0.1179,0.8000,,,4.8349,0.3642,,,,,,"protocol=E2; mode=deterministic; eval_seeds=[3, 7, 11, 21, 33]; E2_survival=0.80"
v00,ppo_196M__deterministic__E2,e55a861,logs/juwels_pull/2026-07-31_12-58-54_go2_ppo_4096/params/agent.yaml,Unitree-Go2-Flat,PPO,1,196608000,,logs/juwels_pull/2026-07-31_12-58-54_go2_ppo_4096/model_1999.pt,evaluated,51.9414,,0.2703,0.0849,1.0000,,,,,,,,,,"protocol=E2; mode=deterministic; eval_seeds=[3, 7, 11, 21, 33]; E2_survival=1.00"
v00,reppo_v28_refparity__deterministic__E2,e55a861,config/mjlab_go2_reppo_v28_refparity.yaml,Unitree-Go2-Flat,REPPO,1,39321600,,logs/safe_rl/go2_velocity/2026-08-03_09-11-35_go2_v28_refparity_s1/model_299.pt,evaluated,41.5052,,0.7339,0.2168,1.0000,,,,,,,,,,"protocol=E2; mode=deterministic; eval_seeds=[3, 7, 11, 21, 33]; E2_survival=1.00"
